VOC	Date	WeeklyCases	InfectionProp	AntigenicDistanceT1	NTD	RBD	SpikeOther	Ep01	Ep02	Ep03	Ep04	Ep05	Ep06	Ep07	Ep08	Ep09	Ep10	Ep11	Ep12	RBDOther	PressureCorrelation
BA.2	2022-02-27	5390288.93311586	0.205908864573029	1.56900692038875	0.54371810619517	0.866901720654863	0.158387093538722	0.00253422780625753	0.124088752567574	0.0013588446858477	0.00310161189667664	0.107706881940885	0.00160238518771586	0.209418998726264	0.214148610071245	0.107330272410429	0.00014654307201324	4.11123428903698E-06	0.114699466774087	0.425108961653128	0.273323824568824
BA.2	2022-03-06	6844421.42859937	0.265115799467337	1.57576696056329	0.547046041862656	0.869355355851738	0.159365562848901	0.00164715205162155	0.120303257132375	0.000871102789802153	0.00238423108588419	0.107636477613846	0.00542564015917988	0.213230848868596	0.214825635594176	0.107506127241261	0.000220987087898416	1.00078661677001E-05	0.113703092617663	0.427275155543312	0.266354711244236
BA.2	2022-03-13	8385686.9606723	0.337655286859214	1.57719453875929	0.547538374010924	0.869286262563783	0.160369902184587	0.00109244527333307	0.120737253049562	0.000586461061792176	0.00222415669744429	0.107288035961528	0.00487912222190209	0.212117277120496	0.215176649614205	0.107656312351771	0.000243353231830296	1.26959444915511E-05	0.112321773002109	0.427258315909618	0.267221366188662
BA.2	2022-03-20	9579877.97142947	0.420524995755253	1.5827076218065	0.550133856623251	0.871701812769585	0.160871952413664	0.000809319708920858	0.121372510858297	0.000387426189098862	0.002519316883842	0.107266586289265	0.00493173119705262	0.212530392725964	0.216002806050201	0.107748958058146	0.000256708734476162	6.40144558896196E-06	0.112548103612057	0.428277360609218	0.267750505633696
BA.2	2022-03-27	9450815.44324179	0.502278263066942	1.58844666780768	0.552557629989835	0.87377755850748	0.162111479310368	0.000767088607563601	0.119917361195607	0.000404510722844169	0.00384511095539464	0.107472227876264	0.00567041370289645	0.213311926722152	0.217594916296863	0.10790524968466	0.000320377216683235	1.26769109721641E-05	0.112808819227641	0.429391309841254	0.267800966071332
BA.2	2022-04-03	8217975.11856008	0.573366977121652	1.59934933236768	0.552126541306942	0.880259486848808	0.166963304211925	0.000772307798631158	0.12156388060903	0.000384359359358157	0.00728618575154014	0.107461098773438	0.00503210888686658	0.212742373356576	0.221394145488183	0.108125791789443	0.000365342583618526	1.35539319644079E-05	0.112815402662768	0.430995289400961	0.275458058507433
BA.2	2022-04-10	6762558.34054381	0.631865764135921	1.62183764988813	0.553077500634777	0.890288135091056	0.178472014162291	0.00128607488600227	0.124379558505791	0.000695851636732712	0.0158712750044144	0.107878505565953	0.00131326531075853	0.209473219079938	0.229491790752997	0.10820616911422	0.000455469107732274	2.3740815199674E-05	0.113822647506539	0.433313435667492	0.293759537285606
BA.2	2022-04-17	5507916.29438794	0.679511404435405	1.63540225812427	0.554174719639454	0.899411568147906	0.18181597033691	0.00150623284308756	0.125886054252072	0.000976421307975944	0.0240557215406771	0.108005061870218	0.00123320276898531	0.209399748640329	0.23780786403318	0.108622002056422	0.000297441256026232	2.32208101914215E-05	0.113417779376745	0.432573231663191	0.308872975307284
BA.2	2022-04-24	4554080.44262608	0.718905989804351	1.65811956367601	0.55887108303826	0.910383336113203	0.188865144524542	0.00189982719932427	0.126908175425199	0.00106756091752491	0.0314270196188901	0.108453556846079	0.00404649463602395	0.212966113656804	0.24467662406928	0.108725296452619	0.000362294522759293	4.98711248148551E-05	0.113831564077	0.432009002943705	0.319408044445976
BA.2	2022-05-01	3836623.91572496	0.752094294288805	1.687254999141	0.559336901250711	0.925505719516437	0.202412378373851	0.00157796493364908	0.127818709641034	0.000792780213441375	0.048670817588083	0.108166278534019	0.00169838746732663	0.210233085983526	0.262611189182358	0.108819242701495	0.000359861330719631	7.45779853924534E-06	0.113634585377521	0.431198820962492	0.344689173720568
