VOC	Date	WeeklyCases	InfectionProp	AntigenicDistanceT1	SpikeCellEntryT1	RBDACE2bindingT1	EscapeScoreT1	AntigenicDistanceTn-1	SpikeCellEntryTn-1	RBDACE2bindingTn-1	EscapeScoreTn-1
Delta	2022-01-23	444086.303187583	0.995906592074102	0.581531606856047	0.0492671810520288	-0.0172104258624933	0.00262212304162506	0.142346030117978	-0.00689459546136453	-0.00867419171305493	-0.000239863713907957
Delta	2022-01-30	219080.308717762	0.997957072180471	0.571515018152062	0.0537487429088098	-0.000455172983720032	0.00185687355603191	0.169907495242047	0.00448156185678112	0.0167552528787733	-0.00076524948559315
Delta	2022-02-06	102434.684205087	0.998915808652015	0.614414507139448	0.0686306809967833	-0.00918695110050959	0.00873644497500815	0.217582675470855	0.0148819380879734	-0.00873177811678956	0.00687957141897623
BA.1	2021-11-28	15712.0260893465	0.000257358641164343	0	0	0	0	0.007183442	0	0	0
BA.1	2021-12-05	34993.000863134	0.000508679444731826	0.125485874828192	-0.00440591521707679	0.00930864857044281	0.00152172993475453	0.125485874828192	-0.00440591521707679	0.00930864857044281	0.00152172993475453
BA.1	2021-12-12	174384.809171653	0.00176111648328128	0.167106474911961	-0.0315185011802292	0.00257891444862722	0.00317344403207965	0.0877361980406166	-0.0271125859631525	-0.00672973412181558	0.00165171409732512
BA.1	2021-12-19	951461.243100805	0.00859454026178699	0.187635546593313	-0.00853568106509061	0.0391537535964888	0.00527355701132692	0.131511838053606	0.0229828201151386	0.0365748391478616	0.00210011297924727
BA.1	2021-12-26	3477108.28606392	0.0335672384297049	0.186649472309852	-0.00841216039825462	0.046193067289552	0.00501761598225706	0.0776607733031758	0.000123520666835997	0.00703931369306314	-0.000255941029069857
BA.1	2022-01-02	7860218.60262543	0.0900195690873214	0.235195552189084	-0.00798895963364074	0.0554691528452068	0.00516923606168572	0.090345209362094	0.000423200764613868	0.00927608555565481	0.000151620079428661
BA.1	2022-01-09	13102201.5908944	0.184119982058643	0.229218811713714	-0.0122029571599489	0.0619613579880787	0.006108770325804	0.0977842281315991	-0.00421399752630815	0.00649220514287197	0.00093953426411828
