VOC	Date	InfectionProportion	HaploMax_AntigenicDistanceABS	HaploMax_ChangeACE2binding	HaploMax_ChangeCellEntry	HaploMax_ChangeImmuneEscape	AdvHaploMax_AntigenicDistanceABS	AdvHaploMax_ChangeACE2binding	AdvHaploMax_ChangeCellEntry	AdvHaploMax_ChangeImmuneEscape
Delta	2021-05-30	0.0231531633858684	1.35137502070075	1.05608478802992	1.0858174563591	0.134640631127182	0	0	0	0
Delta	2021-06-06	0.032392351618067	1.35137502070075	1.05608478802992	0.808517456359102	0.333393327127182	0	0	0	0
Delta	2021-06-13	0.0420818633218507	1.49488603210973	1.05608478802992	1.0858174563591	0.333393327127182	0	0	0	0
Delta	2021-06-20	0.0527983234498841	2.0334929445611	1.18608478802993	1.3681174563591	0.343329900127182	0	0	0	0
Delta	2021-06-27	0.0680415121777466	3.26732983921446	1.18608478802993	1.1110174563591	0.343329900127182	0	0	0	0
Delta	2021-07-04	0.0876468759394746	1.75504165910973	1.18608478802993	1.3681174563591	0.343329900127182	0	0	0	0
Delta	2021-07-11	0.11159989087346	3.61985953736908	1.33608478802992	1.3681174563591	0.333393327127182	0	0	0	0
Delta	2021-07-18	0.138933930325116	3.50529666321446	1.18608478802993	1.3681174563591	0.343329900127182	0	0	0	0
Delta	2021-07-25	0.171144366241067	3.11238208421446	1.18608478802993	1.3681174563591	0.343329900127182	0	0	0	0
Delta	2021-08-01	0.206847933608368	1.56422256737905	1.18608478802993	1.3681174563591	0.343329900127182	0	0	0	0
Delta	2021-08-08	0.244038357419119	3.26732983921446	1.18608478802993	1.6677174563591	0.343329900127182	0	0	0	0
Delta	2021-08-15	0.283753123445761	1.56422256737905	1.05608478802992	1.8606174563591	0.333393327127182	0	0	0	0
Delta	2021-08-22	0.323999739155284	1.85149026621446	1.14608478802993	1.8606174563591	0.333393327127182	0	0	0	0
Delta	2021-08-29	0.365476009058697	1.60989138848629	1.14608478802993	1.8606174563591	0.333393327127182	0	0	0	0
Delta	2021-09-05	0.405069965431427	2.03025394700748	1.05608478802992	1.8606174563591	0.333393327127182	0	0	0	0
Delta	2021-09-12	0.442062512962426	1.67537008950374	1.05608478802992	1.8606174563591	0.333393327127182	0	0	0	0
Delta	2021-09-19	0.476441458223097	1.67537008950374	1.05608478802992	1.8606174563591	0.333393327127182	0	0	0	0
Delta	2021-09-26	0.508350768925747	1.67537008950374	1.05608478802992	1.4225174563591	0.333393327127182	0	0	0	0
Delta	2021-10-03	0.538053733672049	1.67537008950374	1.05608478802992	1.8606174563591	0.333393327127182	0	0	0	0
Delta	2021-10-10	0.565892129473635	1.71243893900748	1.14608478802993	2.1085174563591	0.333393327127182	0	0	0	0
Delta	2021-10-17	0.593410932596214	2.02574513040399	1.14608478802993	2.1085174563591	0.333393327127182	0	0	0	0
Delta	2021-10-24	0.621494091547679	2.02574513040399	1.05608478802992	2.1085174563591	0.333393327127182	0	0	0	0
Delta	2021-10-31	0.650504521937149	2.09845939340399	1.05608478802992	1.4225174563591	0.333393327127182	0	0	0	0
