VOC	Date	TotalHaploCount	InfectionProportion	AntigenicDistanceABS	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	Type
BA.1	2022-01-23	1	0.458895095	4.570665556	0.907404372	0.662470765	0.268723206	All
BA.1	2022-01-30	1	0.599187494	4.273322719	0.907404372	0.662470765	0.268723206	All
BA.1	2022-02-06	1	0.715858179	4.570665556	0.677404372	0.662470765	0.268723206	All
BA.1	2022-02-13	1	0.804897398	3.814115059	0.757404372	0.443070765	0.268723206	All
BA.1	2022-02-20	1	0.865301287	3.814115059	0.757404372	0.662470765	0.268723206	All
BA.1	2022-02-27	1	0.908532232	3.735696858	0.907404372	0.662470765	0.268723206	All
BA.1	2022-03-06	1	0.938459488	3.523198252	0.907404372	0.502870765	0.268723206	All
BA.1	2022-03-13	1	0.96054324	3.576210273	0.907404372	0.662470765	0.268723206	All
BA.1	2022-03-20	1	0.9748396	3.814115059	0.907404372	0.443070765	0.268723206	All
BA.1	2022-03-27	1	0.984544042	2.989744891	0.757404372	0.662470765	0.268723206	All
BA.1	2022-04-03	1	0.990935933	2.759352196	0.757404372	0.662470765	0.268723206	All
BA.1	2022-04-10	1	0.995108689	3.317430093	0.677404372	0.502870765	0.268723206	All
BA.1	2022-04-17	1	0.997114636	2.759352196	0.757404372	0.406370765	0.268723206	All
BA.1	2022-04-24	1	0.99808472	1.925966381	0.677404372	0.366470765	0.106825196	All
BA.1	2022-05-01	1	0.998618288	1.503939891	0.757404372	0.377970765	0.068055783	All
BA.1	2022-05-08	1	0.998933308	1.626120673	0.757404372	0.502870765	0.102074978	All
BA.1	2022-05-15	1	0.999247924	2.759352196	0.677404372	0.287570765	0.102074978	All
BA.2	2021-12-19	1	0.000120881	2.982882695	0.217338129	2.354745324	0.102068364	All
BA.2	2021-12-26	1	0.000539977	4.862090608	0.457338129	2.329788777	0.18986282	All
BA.2	2022-01-02	1	0.002708052	3.955930095	0.337338129	2.474628777	0.102068364	All
BA.2	2022-01-09	1	0.008819786	8.857078032	0.657338129	2.354745324	0.509290019	All
BA.2	2022-01-16	1	0.018483656	8.857078032	0.337338129	2.359428777	0.326206752	All
BA.2	2022-01-23	1	0.035146518	8.857078032	0.567338129	2.390238777	0.102068364	All
BA.2	2022-01-30	1	0.056761353	8.857078032	0.497338129	2.390238777	0.102068364	All
BA.2	2022-02-06	1	0.085787558	8.857078032	0.457338129	2.581128777	0.102068364	All
BA.2	2022-02-13	1	0.118135895	8.857078032	0.907338129	2.430068777	0.102068364	All
BA.2	2022-02-20	1	0.159280747	8.857078032	0.617338129	2.472858777	0.261426625	All
BA.2	2022-02-27	1	0.205908865	3.76463892	0.567338129	2.472858777	0.102068364	All
BA.2	2022-03-06	1	0.265115799	4.048231518	0.617338129	2.464128777	0.102068364	All
BA.2	2022-03-13	1	0.337655287	6.407617518	0.907338129	2.581128777	0.681541971	All
BA.2	2022-03-20	1	0.420524996	3.833198857	0.907338129	2.581128777	0.261426625	All
BA.2	2022-03-27	1	0.502278263	4.068581495	0.907338129	2.581128777	0.261426625	All
BA.2	2022-04-03	1	0.573366977	4.25966649	0.907338129	2.581128777	0.261426625	All
BA.2	2022-04-10	1	0.631865764	4.262319922	0.907338129	2.538028777	0.261426625	All
BA.2	2022-04-17	1	0.679511404	5.496816994	0.907338129	2.581128777	0.495440963	All
BA.2	2022-04-24	1	0.71890599	5.367370092	0.907338129	2.581128777	0.261426625	All
BA.2	2022-05-01	1	0.752094294	4.262319922	0.907338129	2.538028777	0.261426625	All
BA.2	2022-05-08	1	0.782166407	5.427293225	0.907338129	2.538028777	0.261426625	All
BA.2	2022-05-15	1	0.809876598	5.619213145	0.907338129	2.581128777	0.481325824	All
BA.2	2022-05-22	1	0.835394341	5.427293225	0.907338129	2.528528777	0.261426625	All
BA.2	2022-05-29	1	0.857580647	5.427293225	0.907338129	2.528528777	0.261426625	All
BA.2	2022-06-05	1	0.876799702	5.698973631	0.907338129	2.581128777	0.261426625	All
BA.2	2022-06-12	1	0.894051131	5.427293225	0.907338129	2.547928777	0.261426625	All
BA.2	2022-06-19	1	0.908641775	5.427293225	0.907338129	2.580928777	0.495440963	All
BA.2	2022-06-26	1	0.920494197	5.427293225	0.907338129	2.580928777	0.310409774	All
BA.2	2022-07-03	1	0.9303934	5.698973631	0.907338129	2.547928777	0.310409774	All
BA.2	2022-07-10	1	0.938643005	5.367370092	0.907338129	2.580928777	0.261426625	All
BA.2	2022-07-17	1	0.944864415	5.427293225	0.907338129	2.580928777	0.307845485	All
BA.2	2022-07-24	1	0.949071615	5.427293225	0.907338129	2.580928777	0.310409774	All
BA.2	2022-07-31	1	0.951768828	5.427293225	0.907338129	2.547928777	0.310409774	All
BA.2	2022-08-07	1	0.953477221	5.698973631	0.907338129	2.547928777	0.391248734	All
BA.2	2022-08-14	1	0.954647191	5.427293225	0.807338129	2.515628777	0.310409774	All
BA.2	2022-08-21	1	0.955449618	5.298888026	0.907338129	2.482528777	0.495440963	All
BA.2	2022-08-28	1	0.956089685	5.255992961	0.857338129	2.482528777	0.495440963	All
BA.2	2022-09-04	1	0.95656968	5.524219274	0.857338129	2.485918777	0.495440963	All
BA.2	2022-09-11	1	0.957066275	5.692082208	0.857338129	2.515628777	0.516158982	All
BA.2	2022-09-18	1	0.957623856	5.692082208	0.857338129	2.580928777	0.516158982	All
BA.2	2022-09-25	1	0.958253388	5.816964465	0.857338129	2.485918777	0.516158982	All
BA.2	2022-10-02	1	0.95895304	5.692082208	0.857338129	2.485918777	0.516158982	All
BA.2	2022-10-16	1	0.960711173	5.841594637	0.857338129	2.417488777	0.516158982	All
BA.2	2022-10-23	1	0.961662458	5.952148883	0.857338129	2.482528777	0.516158982	All
BA.2	2022-10-30	1	0.962628502	5.902841728	1.077338129	2.417488777	0.610737667	All
BA.2	2022-11-06	1	0.963698463	6.058235233	1.077338129	2.417488777	0.54725689	All
BA.2	2022-11-13	1	0.964869327	5.96240314	0.857338129	2.417488777	0.54725689	All
BA.2	2022-11-20	1	0.966380552	6.193374077	1.077338129	2.417488777	0.582685249	All
BA.2	2022-12-04	1	0.970005069	6.320627066	1.077338129	2.616488777	0.610737667	All
BA.2	2022-12-11	1	0.972464839	6.320627066	1.077338129	2.616488777	0.610737667	All
BA.2	2022-12-18	1	0.975278004	6.320627066	1.077338129	2.500298777	0.582685249	All
BA.2	2022-12-25	1	0.978057881	6.229286329	1.077338129	2.500298777	0.610737667	All
BA.2	2023-01-08	1	0.983795554	6.320627066	0.857338129	2.452738777	0.610737667	All
BA.2	2023-04-09	1	0.99707027	6.493029401	0.857338129	2.397938777	0.54725689	All
BA.2	2023-04-23	1	0.997799505	6.545025913	0.857338129	2.500768777	0.672477575	All
BA.2	2022-10-09	1	0.959810013	5.692082208	0.857338129	2.342328777	0.610737667	All
BA.2	2022-11-27	1	0.968070179	6.058235233	1.077338129	2.616488777	0.610737667	All
BA.2	2023-01-01	1	0.980964653	6.320627066	0.857338129	2.616488777	0.610737667	All
BA.2	2023-01-15	1	0.986151467	6.367317416	0.857338129	2.452738777	0.610737667	All
BA.2	2023-01-22	1	0.98789027	6.320627066	0.857338129	2.616488777	0.672477575	All
BA.2	2023-01-29	1	0.989323228	6.367317416	0.857338129	2.452738777	0.672477575	All
BA.2	2023-02-05	1	0.990567582	6.367317416	0.857338129	2.500298777	0.610737667	All
BA.2	2023-02-12	1	0.991644087	6.333221632	0.857338129	2.500298777	0.610737667	All
BA.2	2023-02-19	1	0.992663439	6.466566139	0.857338129	2.500768777	0.610737667	All
BA.2	2023-02-26	1	0.99362388	6.466566139	0.857338129	2.500298777	0.610737667	All
