VOC	Date	InfectionProportion	HaploMid_AntigenicDistanceABS	HaploMid_ChangeACE2binding	HaploMid_ChangeCellEntry	HaploMid_ChangeImmuneEscape
Delta	2022-02-06	0.998915808652015	0.814007526379053	0.0060847880299251	0.0100174563591021	-0.0005609548728179
BA.1	2021-11-28	0.0002573586411643	0.343874250621512	-0.0125956284153005	0.0157707650273224	-0.0005646939448162
BA.1	2021-12-05	0.0005086794447318	0.458707608601091	-0.0125956284153005	0.0157707650273224	-0.0005675239562841
BA.1	2021-12-12	0.0017611164832812	0.481172934191255	-0.0125956284153005	0.0157707650273224	-0.0005675239562841
BA.1	2021-12-19	0.0085945402617869	0.532186812601092	-0.0125956284153005	0.0157707650273224	-0.0005675239562841
BA.1	2021-12-26	0.0335672384297049	0.528873105420764	0.0374043715846995	0.0157707650273224	-0.0005618483838347
BA.1	2022-01-02	0.0900195690873214	0.540012888420764	0.147404371584699	0.0157707650273224	0.0058781000437158
BA.1	2022-01-09	0.184119982058643	0.528873105420764	0.147404371584699	0.0157707650273224	0.0157426230437158
BA.1	2022-01-16	0.314300329724115	0.528873105420764	0.147404371584699	0.0157707650273224	0.0160043360437158
BA.1	2022-01-23	0.458895095461964	0.532114806420764	0.147404371584699	0.0157707650273224	0.0160043360437158
BA.1	2022-01-30	0.599187493574353	0.528896663420764	0.147404371584699	0.0157707650273224	0.0160043360437158
BA.1	2022-02-06	0.715858179083789	0.528873105420764	0.147404371584699	0.0157707650273224	0.0160043360437158
BA.1	2022-02-13	0.804897397651677	0.528873105420764	0.147404371584699	0.0146707650273224	0.0160043360437158
BA.1	2022-02-20	0.865301286558198	0.528896663420764	0.147404371584699	0.0157707650273224	0.0160043360437158
BA.1	2022-02-27	0.908532232314362	0.532114806420764	0.147404371584699	0.0157707650273224	0.0160043360437158
BA.1	2022-03-06	0.938459487567132	0.526915358420764	0.147404371584699	0.0157707650273224	0.0160043360437158
BA.1	2022-03-13	0.960543240070972	0.539958635420764	0.147404371584699	0.0157707650273224	0.0160043360437158
BA.1	2022-03-20	0.974839600265468	0.540012888420764	0.147404371584699	0.0157707650273224	0.0160043360437158
BA.1	2022-03-27	0.984544042256256	0.532186812601092	0.147404371584699	0.0157707650273224	0.0160043360437158
BA.1	2022-04-03	0.99093593292821	0.546698727300545	0.147404371584699	0.0157707650273224	0.0160043360437158
BA.1	2022-04-10	0.995108688960983	0.554774930420764	0.147404371584699	0.0157707650273224	0.0160043360437158
BA.1	2022-04-17	0.997114635524609	0.556704725289616	0.147404371584699	0.0166707650273224	0.0160043360437158
BA.1	2022-04-24	0.99808471950222	0.556437911420764	0.147404371584699	0.0157707650273224	0.0160043360437158
BA.1	2022-05-01	0.998618288443587	0.547123527420764	0.147404371584699	0.0183707650273224	0.0160043360437158
BA.1	2022-05-08	0.998933307588782	0.537110747420764	0.147404371584699	0.0157707650273224	0.0160043360437158
BA.1	2022-05-15	0.99924792436393	0.514681913420764	0.147404371584699	0.0117707650273224	0.0160043360437158
BA.2	2021-12-19	0.0001208812404408	1.80223933310421	0.217338129496403	2.11442877697842	-0.0414613822426754
BA.2	2021-12-26	0.0005399774537727	1.84792731080576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-01-02	0.0027080523817592	1.87835892493525	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-01-09	0.0088197861462221	1.85015006880576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-01-16	0.0184836564962861	1.78912685680576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-01-23	0.0351465183533342	1.77148336580576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-01-30	0.0567613527961845	1.78230033680576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-02-06	0.0857875576684096	1.77148336580576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-02-13	0.118135895447524	1.78331005780576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-02-20	0.15928074717059	1.78027580580576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-02-27	0.205908864573029	1.78735167680576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-03-06	0.265115799467337	1.78230033680576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-03-13	0.337655286859214	1.79991783380576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-03-20	0.420524995755253	1.79991783380576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-03-27	0.502278263066942	1.79963990380576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-04-03	0.573366977121652	1.81171313380576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-04-10	0.631865764135921	1.82508366180576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-04-17	0.679511404435405	1.83623089180576	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-04-24	0.718905989804351	1.84195636091367	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-05-01	0.752094294288805	1.86898132830216	0.217338129496403	2.11442877697842	-0.041465557352518
BA.2	2022-05-08	0.78216640732289	1.96209673030216	0.217338129496403	2.12757877697842	-0.041465557352518
BA.2	2022-05-15	0.809876598074558	1.96630650330216	0.217338129496403	2.12952877697842	-0.041465557352518
BA.2	2022-05-22	0.835394341259999	1.98316167480576	0.217338129496403	2.13645877697842	-0.041465557352518
BA.2	2022-05-29	0.857580646857447	1.98484203305036	0.217338129496403	2.12952877697842	-0.041465557352518
BA.2	2022-06-05	0.876799701572013	2.03028567566906	0.217338129496403	2.14028877697842	-0.041465557352518
BA.2	2022-06-12	0.894051130840121	2.03028567566906	0.217338129496403	2.14028877697842	-0.041465557352518
BA.2	2022-06-19	0.908641774782853	2.06690265582734	0.217338129496403	2.14523877697842	-0.0414613822426754
