VOC	HaploName	Date	DateNum	HaploCount	OtherCount	HaploCases	OtherCases	AntigenicDistanceABS	AntigenicDistance	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	InfectionProportion	DailyRelativeGrowthAdvantages	InfPropGroup
WT	1504	2021-01-10	50	7	27975	906.8392987	3624118.483	0.556711189	-0.084243134	-0.050310914	-0.143976328	-0.015553387	0.735328698	0.166008725	GA7
Delta	200	2021-07-18	19	154	45451	9861.883362	2910600.394	0.696963409	-0.037162974	0.005839711	-0.254055276	-0.001050183	0.13893393	-0.80436349	GA1
WT	2	2020-11-01	40	3538	9247	960114.5525	2509377.973	0.225453347	-0.224812132	-0.064585843	0.051106946	-0.002633963	0.407189635	-0.173712256	GA4
BA.1	166	2022-02-13	12	13	77836	2070.257667	12395428.91	0.41253104	0.30993188	-0.08360922	-0.008880587	0.023420967	0.804897398	1	GA8
XBB	1281	2022-12-25	13	1	2679	96.24390375	257837.4182	0.871766939	0.177495852	0.472865672	0.259292294	0.0142082	0.074918105	1	GA0
BA.2	218	2022-07-24	32	18	4678	1864.239674	484495.1775	0.817002146	-0.130642336	-0.101648211	0.10607695	-0.033512971	0.949071615	-0.85918746	GA9
BA.2	754	2022-04-17	18	2	56418	195.2469441	5507721.047	0.72860469	0.627320286	0.108764314	0.080633884	0.050807142	0.679511404	1	GA6
Alpha	135	2021-04-11	22	16	47134	1161.449769	3421485.839	0.164524082	-0.039083166	0.009131283	-0.032253871	-0.001276303	0.48968684	-0.164165788	GA4
BA.2	2733	2022-06-26	28	5	18257	375.1396134	1369784.784	0.544347173	-0.223766058	-0.077276859	0.130557707	-0.031752695	0.920494197	-0.605210612	GA9
BA.2	1891	2022-05-15	22	14	51247	874.8722486	3202469.866	0.514472322	0.087530601	-0.04058368	0.027891651	-0.015669014	0.809876598	0.038021044	GA8
XBB	800	2023-03-19	25	5	9869	287.157154	566790.7905	0.393870511	0.11327022	0.0279127	-0.036267463	0.003326192	0.383921693	-0.284174142	GA3
Delta	751	2021-10-24	33	4	83264	144.1370403	3000356.63	0.898350793	-0.141810468	-0.313098863	-0.224958112	0.075469055	0.621494092	0.702725948	GA6
BA.4/5	3	2022-09-25	24	118	34391	9681.447551	2821649.684	0.364599058	0.034013084	0.007492248	0.039033594	-0.030891132	0.733695154	-0.728259105	GA7
BQ.1	527	2022-11-13	10	5	9761	351.5686185	686332.2571	0.472510628	0.342436048	0.006573828	0.205613267	0.059935794	0.1397126	0.007390566	GA1
