VOC	Date	Cases	AverageNUCMutCount	
Delta	2021-06-06	987146.4756	38.96161244	0.257722332
Delta	2021-06-13	1035260.576	39.29234824	0.330735799
Delta	2021-06-20	1144983.258	39.68533669	0.392988446
Delta	2021-06-27	1628634.427	40.05853549	0.3731988
Delta	2021-07-04	2094704.129	40.03400219	-0.024533296
Delta	2021-07-11	2559222.053	39.36822449	-0.665777708
Delta	2021-07-18	2920462.278	40.76944487	1.401220385
Delta	2021-07-25	3441473.157	40.95827191	0.188827044
Delta	2021-08-01	3814691.27	41.29889102	0.340619104
Delta	2021-08-08	3973552.099	41.38064401	0.081752988
Delta	2021-08-15	4243261.456	41.44612391	0.065479908
Delta	2021-08-22	4300086.095	39.9863219	-1.459802015
Delta	2021-08-29	4431466.556	42.8070411	2.820719201
Delta	2021-09-05	4230353.739	43.07296315	0.265922046
Delta	2021-09-12	3952410.32	43.29209913	0.219135979
Delta	2021-09-19	3673164.113	43.69500771	0.402908584
Delta	2021-09-26	3409299.909	44.11286789	0.417860177
Delta	2021-10-03	3173566.36	44.48657853	0.37371064
Delta	2021-10-10	2974349.435	44.86098514	0.374406616
Delta	2021-10-17	2940203.06	45.23996819	0.378983049
Delta	2021-10-24	3000500.767	45.91001753	0.670049335
Delta	2021-10-31	3099573.62	46.19313357	0.283116041
Delta	2021-11-07	3257478.888	46.46063122	0.267497653
Delta	2021-11-14	3503193.921	46.84122586	0.38059464
Delta	2021-11-21	3789547.058	47.19975573	0.358529873
Delta	2021-11-28	4040695.234	47.44701547	0.247259737
Delta	2021-12-05	4169583.535	47.7042647	0.257249226
Delta	2021-12-12	4245572.316	47.88285355	0.178588852
Delta	2021-12-19	4059374.989	47.62767111	-0.255182443
Delta	2021-12-26	3525661.837	47.86940421	0.241733104
Delta	2022-01-02	2881766.924	47.65838003	-0.21102418
Delta	2022-01-09	2018984.214	48.33574819	0.677368158
Delta	2022-01-16	967993.4854	48.14079353	-0.19495466
Delta	2022-01-23	444086.3032	48.58684864	0.446055107
Delta	2022-01-30	219080.3087	49.0634058	0.476557162
Delta	2022-02-06	102434.6842	49.25087719	0.187471396
WT	2020-02-09	244	5.521582734	1.249157485
WT	2020-02-16	580	4.904522613	-0.617060121
WT	2020-02-23	2289	4.332214765	-0.572307848
WT	2020-03-01	8594	5.474452555	1.14223779
WT	2020-03-08	28273.01216	6.76589758	1.291445025
WT	2020-03-15	83430.88133	7.386592842	0.620695261
WT	2020-03-22	193600.0704	7.590918326	0.204325484
WT	2020-03-29	328735.9479	7.735957541	0.145039215
WT	2020-04-05	445456.4733	8.34551594	0.609558399
WT	2020-04-12	497361.8119	8.838668074	0.493152134
WT	2020-04-19	522636.9652	9.402703426	0.564035352
WT	2020-04-26	529778.2594	9.741038526	0.3383351
WT	2020-05-03	555630.3056	10.14650897	0.40547044
WT	2020-05-10	579080.6003	10.36289457	0.216385601
WT	2020-05-17	628509.1195	10.5847376	0.221843035
