VOC	Date	Cases	AverageNUCMutCount
Delta	2021-04-04	12625.6769240043	34.955223880597
Delta	2021-04-11	37093.8020056798	36.4716242661448
Delta	2021-04-18	68926.9387121566	35.8785151856018
Delta	2021-04-25	133578.723164203	36.8315858453473
Delta	2021-05-02	176312.975686262	38.1937594363362
Delta	2021-05-09	293539.79978192	40.2239974937343
Delta	2021-05-16	323120.052087751	38.0353047676524
Delta	2021-05-23	514049.700682669	38.4683748432181
Delta	2021-05-30	827475.412699182	38.7038901121946
Delta	2021-06-06	987146.47556157	38.9616124445931
Delta	2021-06-13	1035260.57570391	39.2923482440499
Delta	2021-06-20	1144983.25827126	39.685336689742
Delta	2021-06-27	1628634.42662523	40.0585354896676
Delta	2021-07-04	2094704.12909716	40.0340021936899
Delta	2021-07-11	2559222.05251259	39.3682244852227
Delta	2021-07-18	2920462.27757633	40.7694448705867
Delta	2021-07-25	3441473.15669163	40.9582719146934
Delta	2021-08-01	3814691.2700381	41.2988910189522
Delta	2021-08-08	3973552.09860117	41.3806440067555
Delta	2021-08-15	4243261.45605792	41.4461239149955
Delta	2021-08-22	4300086.09549485	39.9863219004634
Delta	2021-08-29	4431466.55589362	42.8070411010637
Delta	2021-09-05	4230353.73937593	43.0729631474631
Delta	2021-09-12	3952410.31998979	43.2920991264212
Delta	2021-09-19	3673164.11298177	43.6950077108372
Delta	2021-09-26	3409299.90883242	44.1128678881927
Delta	2021-10-03	3173566.35952673	44.4865785284142
Delta	2021-10-10	2974349.43527338	44.8609851446443
Delta	2021-10-17	2940203.0602057	45.2399681935649
Delta	2021-10-24	3000500.76747671	45.9100175282733
Delta	2021-10-31	3099573.61986502	46.1931335692172
Delta	2021-11-07	3257478.88813405	46.4606312223737
Delta	2021-11-14	3503193.92064029	46.8412258621985
Delta	2021-11-21	3789547.05781276	47.1997557348147
Delta	2021-11-28	4040695.234043	47.447015472183
Delta	2021-12-05	4169583.53461844	47.7042646983444
Delta	2021-12-12	4245572.31562266	47.8828535498777
Delta	2021-12-19	4059374.9886291	47.6276711067552
Delta	2021-12-26	3525661.83667504	47.8694042108407
Delta	2022-01-02	2881766.92408057	47.6583800305655
Delta	2022-01-09	2018984.21423234	48.3357481888584
Delta	2022-01-16	967993.485413788	48.1407935285054
Delta	2022-01-23	444086.303187583	48.5868486352357
Delta	2022-01-30	219080.308717762	49.0634057971015
Delta	2022-02-06	102434.684205087	49.2508771929825
XBB	2022-10-02	25280.8476112443	95.0557491289199
XBB	2022-10-09	42457.5107773906	95.4791666666667
XBB	2022-10-16	42361.8443574122	95.8835341365462
XBB	2022-10-23	43576.316611222	95.9135559921415
