VOC	Date	Cases	HaploNum	HaploNumPer100Seq
BQ.1	2023-01-15	1097497.54170057	1996	0.177659101023587
BQ.1	2023-01-22	779880.997351078	1670	0.193713026331052
BQ.1	2023-01-29	529289.406023046	1563	0.206664022213407
BQ.1	2023-02-05	387238.637955904	1435	0.233903830480848
BQ.1	2023-02-12	292262.324185876	1232	0.243767313019391
BQ.1	2023-02-19	243056.696215906	1156	0.265869365225391
BQ.1	2023-02-26	179568.979307905	855	0.277507302823759
BQ.1	2023-03-05	125665.333393939	692	0.304980167474658
BQ.1	2023-03-12	95738.0830303431	567	0.334119033588686
BQ.1	2023-03-19	68285.9712143716	423	0.355761143818335
BQ.1	2023-03-26	50880.1123341595	307	0.356562137049942
BQ.1	2023-04-02	41904.9916557592	270	0.407239819004525
Alpha	2020-11-15	126097.254554691	38	0.0634390651085142
Alpha	2020-11-22	131953.786738729	33	0.0712742980561555
Alpha	2020-11-29	163093.708112094	34	0.0631970260223048
Alpha	2020-12-06	129480.350865601	40	0.0858369098712446
Alpha	2020-12-13	406447.478690471	128	0.0584741891274555
Alpha	2020-12-20	756443.204935622	256	0.0544796765269206
Alpha	2020-12-27	705069.24252196	231	0.0710113741162004
Alpha	2021-01-03	972971.396736667	412	0.071280276816609
Alpha	2021-01-10	1062556.56109994	577	0.0703486954401366
Alpha	2021-01-17	1309693.4211734	786	0.0734716769489624
Alpha	2021-01-24	1388023.74711419	863	0.0707377049180328
Alpha	2021-01-31	1718020.11803776	1196	0.0624314871848411
Alpha	2021-02-07	1362578.41438773	1013	0.0653970303421562
Alpha	2021-02-14	1349100.53735958	1254	0.0639013452914798
Alpha	2021-02-21	1462569.65913504	1393	0.0569804065938561
Alpha	2021-02-28	1562511.61537436	1700	0.0600770399689013
Alpha	2021-03-07	1780565.98256153	1798	0.0565444367570287
Alpha	2021-03-14	2094066.4486692	2161	0.0541685466486188
Alpha	2021-03-21	2470338.7217702	2299	0.0503978779840849
Alpha	2021-03-28	2811686.60525052	2582	0.0518005818035911
Alpha	2021-04-04	3063705.30493226	2745	0.0562799852380367
Alpha	2021-04-11	3422647.28878239	2860	0.0606574761399788
Alpha	2021-04-18	3964621.50186109	3117	0.0611632196538597
Alpha	2021-04-25	4296900.21208928	3196	0.0657978712453421
Alpha	2021-05-02	4334293.56211388	3219	0.0664355148288032
Alpha	2021-05-09	4046168.81582637	3062	0.0697240185809272
Alpha	2021-05-16	3681793.5304294	2838	0.0751788079470199
Alpha	2021-05-23	2960306.31649416	2566	0.0799675891298928
Alpha	2021-05-30	2196052.62920586	2256	0.0893111638954869
Alpha	2021-06-06	1562650.21719441	1905	0.101093186160051
